possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
BARRIER & BUFFER RESERVOIRS,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
PRESSURE CASING AUX. CONNECTIONS,,construction_accessories,primary_equipments,,pump
FLOW- INSTRUMENTS,SEAL AUXILIARY SYSTEM,instrumentation,auxiliary_equipments,seal_auxiliary_system,pump
UNITS,SEAL AUXILIARY SYSTEM,materials,auxiliary_equipments,seal_auxiliary_system,pump
TYPE B,SEAL SPECIFICATION,materials,auxiliary_equipments,seal_auxiliary_system,pump
RIVER,,others,primary_equipments,,pump
COOLER,,equipments,primary_equipments,,pump
PRESSURE-INSTRUMENTS,SEAL AUXILIARY SYSTEM,instrumentation,auxiliary_equipments,seal_auxiliary_system,pump
SEAL CHAMBER DATA,,equipments,auxiliary_equipments,seal_auxiliary_system,pump
PRESSURE DATA,PUMP PERFORMANCE DATASHEET,performance,primary_equipments,,pump
ASME B73.1 CENRIFUGAL PUMP DATASHEET,,equipments,primary_equipments,,pump
DRIVER & POWER DATA,,driver_motor,primary_equipments,,pump
BARRIER/BUFFER GAS SUPPLY SYSTEM,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
PRESSURE-INSTRUMENTS,SEAL AUXILARY SYSTEM,instrumentation,auxiliary_equipments,seal_auxiliary_system,pump
OPERATING_CONDITIONS,PUMP PERFORMANCE DATASHEET,operating_conditions,primary_equipments,,pump
NOZZLE CONNECTIONS,,nozzles,primary_equipments,,pump
AT DESIGNATED CAPACITY,PUMP ORIENTATION,equipments,primary_equipments,,pump
SPARE ROTOR ASSEMBLY PACKAGED FOR,SURFACE PREPARATION AND PAINT,construction_accessories,primary_equipments,,pump
CYCLONE SEPARATOR,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
MATERIAL,Pump Performance Datasheet,materials,primary_equipments,,pump
SPRINGS,seal materials,materials,auxiliary_equipments,seal_auxiliary_system,pump
FLOW IN GPM,,performance,primary_equipments,,pump
PROJECT PHASE,NOTES,notes,primary_equipments,,pump
PUMPED FLUID,pumped fluid,process_fluids,primary_equipments,,pump
SYSTEM DESIGN,OPERATING CONDITIONS,operating_conditions,primary_equipments,,pump
