standard_property_name,possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
air_cooler,COOLER,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_forced_air_draft,COOLER,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_forced_air_draft,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_forced_air_draft,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_forced_air_draft,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_forced_air_draft,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_forced_air_draft,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_natural_air_draft,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_natural_air_draft,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_natural_air_draft,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_natural_air_draft,COOLER,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_natural_air_draft,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_natural_air_draft,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_with_high_temperature_alarm,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_with_high_temperature_alarm,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_with_high_temperature_alarm,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_with_high_temperature_alarm,COOLER,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_with_high_temperature_alarm,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler_with_high_temperature_alarm,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
asme_b31_3,COOLER,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
asme_b31_3,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
asme_b31_3,COOLER,,equipments,primary_equipments,asset,pump
asme_b31_3,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
asme_b31_3,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
cyclone_separator_supplier_reference_code,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
forced_air_draft,COOLER,,equipments,primary_equipments,asset,pump
forced_air_draft,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
natural_air_draft,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
natural_air_draft,COOLER,,equipments,primary_equipments,asset,pump
pipe_galvanized_carbon_steel,COOLER,,equipments,primary_equipments,asset,pump
pipe_galvanized_carbon_steel,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
pipe_galvanized_carbon_steel,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
plan_asme_b31_3,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,COOLER,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
supplier_reference_code,COOLER,,equipments,primary_equipments,asset,pump
water_cooler,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler,COOLER,,equipments,primary_equipments,asset,pump
water_cooler,COOLER,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler_pipe_galvanized_carbon_steel,COOLER,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler_pipe_galvanized_carbon_steel,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler_pipe_galvanized_carbon_steel,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler_pipe_galvanized_carbon_steel,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler_pipe_galvanized_carbon_steel,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler_pipe_galvanized_carbon_steel,COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler_pipe_galvanized_carbon_steel,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
water_cooler_pipe_galvanized_cs,COOLER,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
with_high_temperature_alarm,COOLER,,equipments,primary_equipments,asset,pump
with_high_temperature_alarm,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
inlet_temperature,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
maximum_allowable_delta_p,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
maximum_allowable_delta_p_galvanized_pipe,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
maximum_allowable_delta_p_outlet_shut_off_valve,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
maximum_allowable_delta_p_sight_flow_indicator,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
maximum_allowable_delta_p_stainless_steel_tubing,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
name_of_fluid,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
outlet_temperature,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
rated_flow,COOLING OR HEATING PIPING,,construction_accessories,primary_equipments,asset,pump
