client_property_name,standard_property_name,possible_table_name,parent_table_name,,node_name,node_category,node_subpart_type,asset_class,reasoning,used_tool,,,,,,Document Name
Corrosion Allowance,corrosion_allowance,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Design Pressure,design_pressure,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3154_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Design Temperature,design_temperature,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3154_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Expansion Joint,expansion_joint,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Expansion Joint Type,expansion_joint_type,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-S000E3190_1.pdf"
Expansion Type,expansion_type,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Filled with Water,filled_with_water,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,BCEP-CE-SE-S000E3407_0.pdf
Filled with Water Weight,filled_with_water_weight,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Floating Head Cover,floating_head_cover,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9152_0.pdf, BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9362_3.pdf, BCEP-CE-SE-L000E9412_0.pdf, BCEP-CE-SE-L000E9427_0.pdf, BCEP-CE-SE-L000E9437_0.pdf, BCEP-CE-SE-S000E3190_1.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3316_0.pdf, BCEP-CE-SE-S000E3407_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
Gaskets-Floating Head,gaskets_floating_head,CONSTRUCTION OF ONE SHELL,,,subparts,primary_equipments,"shell side, tube side",heat_exchanger_shell_and_tube,,,,,,,,"BCEP-CE-SE-L000E9352_2.pdf, BCEP-CE-SE-S000E3315_0.pdf, BCEP-CE-SE-S000E3638_2.pdf"
