client_property_name,standard_property_name,possible_table_name,parent_table_name,,node_name,node_category,node_subpart_type,asset_class,reasoning,used_tool,,,,,,,,Document Name
Plant Location,plant_location,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Service,service,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Surface/Item-Finned tube,surface_item_finned_tube,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Surface/Item-Finned Tube,surface_or_item_finned_tube,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf"
Transfer Rate-Finned,transfer_rate_finned,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Type Draft,type_draft,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Design pressure,design_pressure,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Design temperature,design_temperature,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
"Fin ASME Code, Sec. VIII, Div. 1",fin_asme_code_section_viii_division_1,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Fin Customer Specifications,fin_customer_specifications,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Fin Fin density,fin_fin_density,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Fin Material,fin_material,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Fin Outside diameter,fin_outside_diameter,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Fin Selection temp.,fin_selection_temperature,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Fin Thickness,fin_thickness,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Fin Type,fin_type,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Header Corrosion Allowance,header_corrosion_allowance,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Header Gasket material,header_gasket_material,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Header Material,header_material,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Header No. of passes,header_number_of_passes,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Header Plug material,header_plug_material,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
Header Slope,header_slope,DESIGN MATERIAL AND CONSTRUCTION,,,construction_accessories,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3303_2.pdf
